From,To,Empties,Flong,Flat,Tlong,Tlat,
TAL,TIF,1,-84.35,30.44,-83.51,31.42, -   
TAM,ORL,6,-82.38,28.00,-81.37,28.41, -   
TAM,TIF,19,-82.38,28.00,-83.51,31.42, -   
TIF,MAC,42,-83.51,31.42,-83.73,32.80, -   
TIF,OPK,3,-83.51,31.42,-85.36,32.67, -   
TRI,KNX,2,-82.52,36.44,-84.13,35.91, -   
TUL,OKC,1,-95.80,36.16,-97.42,35.39, -   
TUP,MFS,6,-88.77,34.31,-89.92,35.03, -   
TYL,DAL,7,-95.20,32.44,-97.00,32.80, -   
WAC,DAL,7,-97.18,31.47,-97.00,32.80, -   
WFS,DAL,2,-98.56,33.95,-97.00,32.80, -   
WIN,SHE,2,-78.16,39.14,-78.99,38.07, -   
WPB,ORL,5,-80.08,26.78,-81.37,28.41, -   
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
